"ID","ADDRESS","CITY","STATE","ZIP","ListPrice","BEDS","BATHS","LOCATION","SQFT","LotSize","YearBuilt","ParkingSpots","HasGarage","DOM","LastSaleDate","SoldPrev","Realty","LATITUDE","LONGITUDE","ShortSale"
4437943,"1122 MARYLAND AVE EAST Ave","St. Paul","MN",55106,129900,2,"1,5","Payne-Phalen",1781,3920,1923,1,"Garage",19,,"N","Real Estate Solutions MN & WI","44,977295","-93,053085","Y"
4436363,"1123 Albemarle St","St. Paul","MN",55117,129900,2,"1,5","North End/South Como",1407,4791,1909,2,"Garage",33,,"N","Get a Rebate Real Estate","44,975082","-93,10759","N"
4435739,"1129 Bush Ave","St. Paul","MN",55106,76500,3,1,"Dayton's Bluff",1108,2613,1890,1,"Garage",36,,"N","TheMLSonline.com, Inc.","44,965164","-93,052773","Y"
4424986,"1129 Osceola Ave","St. Paul","MN",55105,369900,3,"2,75","Summit Hill",1870,6098,1922,1,"Garage",89,,"N","Edina Realty, Inc.","44,936054","-93,14785","N"
4427889,"1134 Charles Ave","St. Paul","MN",55104,129900,3,1,"Hamline-Midway",1005,4791,1920,2,"Garage",77,,"N","Greater Midwest Realty","44,957291","-93,148102","N"
4426396,"1138 Norton St","St. Paul","MN",55117,224900,3,"2,5","North End/South Como",1940,,2004,2,"Garage",84,,"N","RE/MAX Professionals","44,975529","-93,119659","N"
4415211,"1139 E Maryland Ave E","St. Paul","MN",55106,99900,4,"1,75","Payne-Phalen",1900,4791,1926,1,"Garage",119,,"N","Keller Williams Premier Realty","44,977798","-93,052315","N"
4417773,"114 Bates Ave","St. Paul","MN",55106,119900,3,2,"Dayton's Bluff",1696,6969,1912,2,"Garage",112,,"N","RE/MAX Specialists","44,949902","-93,062836","N"
4440232,"1145 Flandrau St","St. Paul","MN",55106,134900,3,1,"Greater East Side",1110,6534,1949,3,"Garage",8,20/11/2009,"Y","RE/MAX Results","44,975792","-93,028221","N"
4434208,"115 W 50th St","Minneapolis","MN",55419,549000,4,"1,5","Tangletown",2012,7840,1923,1,"Garage",47,,"N","Keller Williams Integrity","44,912052","-93,279961","N"
4417588,"1153 Jessie St","St. Paul","MN",55130,124900,3,"2,25","Payne-Phalen",2179,8712,1911,5,"Garage",113,,"N","Edina Realty, Inc.","44,975971","-93,077736","N"
4384118,"1153 Montana Ave W","St. Paul","MN",55108,229900,3,"1,5","Como",1835,4791,1906,2,"Garage",137,15/6/2010,"Y","Anthony James Real Estate","44,987713","-93,148537","Y"
4428588,"1154 5th St E","St. Paul","MN",55106,139900,4,"1,75","Dayton's Bluff",1400,5227,1938,1,"Garage",75,1/4/2013,"Y","Edina Realty, Inc.","44,959236","-93,051765","N"
4418013,"1154 Jessie St","St. Paul","MN",55130,123900,3,1,"Payne-Phalen",1148,10890,1888,2,"Garage",112,,"N","Keller Williams Premier Realty","44,975945","-93,076996","N"
4440401,"1154 Marshall Ave","St. Paul","MN",55104,152900,4,"1,75","Merriam Park/Lexington-Hamline",1904,3920,1922,1,"Garage",7,,"N","RE/MAX Advantage Plus","44,948277","-93,148842","N"
4419050,"1163 Matilda St","St. Paul","MN",55117,129900,4,"1,75","North End/South Como",1424,5227,1948,1,"Garage",110,15/8/2012,"Y","The Ewing Group, LLC","44,976227","-93,112686","N"
4415805,"1164 Cook Ave E","St. Paul","MN",55106,62400,1,1,"Payne-Phalen",510,4791,1928,1,"Garage",119,,"N","Stevens Realty","44,972778","-93,051414","N"
4432733,"1164 Van Buren Ave","St. Paul","MN",55104,124900,2,1,"Hamline-Midway",676,4791,1940,2,"Garage",56,,"N","Keller Williams Premier Realty","44,961823","-93,149513","N"
4419707,"1166 Euclid St","St. Paul","MN",55106,117000,2,1,"Dayton's Bluff",1017,13285,1889,2,"Garage",106,,"N","Coldwell Banker Burnet","44,954735","-93,051445","N"
4416047,"1167 Hawthorne Ave E","St. Paul","MN",55106,264900,3,"1,75","Payne-Phalen",2304,5227,1922,2,"Garage",117,,"N","Cardinal Realty Co.","44,978699","-93,051247","N"
4436725,"1168 Virginia St","St. Paul","MN",55117,119900,2,1,"North End/South Como",1314,5662,1941,1,"Garage",29,,"N","Better Homes and Gardens Real Estate-All Seasons","44,97633","-93,114479","N"
4441800,"117 W Wheelock Pkwy","St. Paul","MN",55117,89900,5,"1,75","North End/South Como",1835,6534,1894,2,"Garage",1,,"N","RE/MAX Specialists","44,990303","-93,104721","N"
